id;customer_id;name;email;phone_number
1;91449ce8-8956-4157-ae0b-892b24ff6382;drat vagrant;Ernestina61@hotmail.com;22297
2;2db933cd-233a-4606-8890-f94d0ac1d758;gadzooks;Evie_Nicolas63@hotmail.com;10880
3;82b1c363-3b9f-4038-b0b0-27f2cc94528e;nervous because;Patience.Funk13@hotmail.com;1248
4;52ff88d0-7550-45ed-9322-27fdef0beae0;midst before out;Mohammad12@hotmail.com;22857
5;f6352bfb-138b-49e5-937c-bf6040bf4a32;during;Orlando_Raynor-Macejkovic@hotmail.com;2757
6;4a7cfeca-5b4b-43e1-9c05-4cc4a50a2789;scared;Angelina98@gmail.com;11858
7;9b393e89-d4ba-477c-86d7-8ec28c6b46f2;blend;Oswaldo2@hotmail.com;31751
8;76831212-04a9-47c4-8b54-143e54c69abc;shortlist though;Nikolas.Steuber80@gmail.com;12228
9;cb09ed29-56d6-4e45-a411-37e0fe6a377b;famously;Opal_Schuppe85@hotmail.com;5514
10;288debdd-1f44-41f8-8240-2d14b33070d1;psst;Edd35@hotmail.com;15598
